_id,AIR_CONDITIONING_TYPE,AMENITIES_AVAILABLE,ANNUAL_FIRE_ALARM_TEST_RECORDS,ANNUAL_FIRE_PUMP_FLOW_TEST_RECORDS,APPROVED_FIRE_SAFETY_PLAN,BALCONIES,BARRIER_FREE_ACCESSIBILTY_ENTR,BIKE_PARKING,CONFIRMED_STOREYS,CONFIRMED_UNITS,DATE_OF_LAST_INSPECTION_BY_TSSA,DESCRIPTION_OF_CHILD_PLAY_AREA,DESCRIPTION_OF_INDOOR_EXERCISE_ROOM,DESCRIPTION_OF_OUTDOOR_REC_FACILITIES,ELEVATOR_PARTS_REPLACED,ELEVATOR_STATUS,EMERG_POWER_SUPPLY_TEST_RECORDS,EXTERIOR_FIRE_ESCAPE,FACILITIES_AVAILABLE,FIRE_ALARM,GARBAGE_CHUTES,GREEN_BIN_LOCATION,HEATING_EQUIPMENT_STATUS,HEATING_EQUIPMENT_YEAR_INSTALLED,HEATING_TYPE,INDOOR_GARBAGE_STORAGE_AREA,INTERCOM,IS_THERE_A_COOLING_ROOM,IS_THERE_EMERGENCY_POWER,LAUNDRY_ROOM,LAUNDRY_ROOM_HOURS_OF_OPERATION,LAUNDRY_ROOM_LOCATION,LOCKER_OR_STORAGE_ROOM,NO_BARRIER_FREE_ACCESSBLE_UNITS,NO_OF_ACCESSIBLE_PARKING_SPACES,NO_OF_ELEVATORS,NO_OF_LAUNDRY_ROOM_MACHINES,NON_SMOKING_BUILDING,OUTDOOR_GARBAGE_STORAGE_AREA,PARKING_TYPE,PCODE,PET_RESTRICTIONS,PETS_ALLOWED,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RECYCLING_BINS_LOCATION,RSN,SEPARATE_GAS_METERS_EACH_UNIT,SEPARATE_HYDRO_METER_EACH_UNIT,SEPARATE_WATER_METERS_EA_UNIT,SITE_ADDRESS,SPRINKLER_SYSTEM,SPRINKLER_SYSTEM_TEST_RECORD,SPRINKLER_SYSTEM_YEAR_INSTALLED,TSSA_TEST_RECORDS,VISITOR_PARKING,WARD,WINDOW_TYPE,YEAR_BUILT,YEAR_OF_REPLACEMENT,YEAR_REGISTERED,NO_OF_STOREYS,IS_THERE_EMERGENCY_POWER?,NON-SMOKING_BUILDING,NO_OF_UNITS,NO_OF_ACCESSIBLEPARKING_SPACES,FACILITIES_AVAILABLE?,IS_THERE_A_COOLING_ROOM?,NO_BARRIERFREE_ACCESSBLE_UNITS
113126,NONE,NA,YES,NO,YES,YES,NO,Not Available,4,26,NA,NA,NA,NA,NA,NA,NA,NO,Green Bin / Organics,YES,NO,DRIVEWAY,REPLACED,1998,HOT WATER,NO,YES,NO,NO,YES,YES,BASEMENT,YES,0,28,0,2,YES,YES,"Ground Level Garage , Surface Parking",M6L,N/A,NO,N/A,PRIVATE,DRIVEWAY,4154310,NO,YES,NO,2567  KEELE ST ,YES,YES,1958,NA,UNAVAILABLE,05,DOUBLE PANE,1958,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
113127,NONE,NA,YES,NO,YES,YES,NO,Not Available,3,11,NA,NA,NA,NA,NA,NA,YES,NO,Green Bin / Organics,YES,NO,SOUTH WEST,REPLACED,2011,FORCED AIR GAS,NO,YES,NO,YES,YES,7AM TO 11PM,BASEMENT,YES,0,9,0,2,YES,YES,"Ground Level Garage , Surface Parking",M6L,NA,YES,CORREL HOLDINGS INC.,PRIVATE,SOUTH WEST,4154314,NO,NO,NO,2623  KEELE ST ,NO,NA,NA,NA,UNAVAILABLE,05,DOUBLE PANE,1965,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
113128,NONE,NA,YES,YES,YES,YES,NO,0 indoor parking spots and 0 outdoor parking spots,15,102,"MAR 22, 2017",NA,NA,NA,NA,ORIGINAL,NO,YES,Green Bin / Organics,YES,YES,OUTDOORS,REPLACED,1974,HOT WATER,YES,YES,NO,YES,YES,7AM - 11PM,MAIN FLOOR,YES,10,0,2,6,YES,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",M9N,NA,YES,MEDALLION CORPORATION,PRIVATE,OUTDOORS,4154330,NO,YES,NO,1747-1755  JANE ST ,YES,YES,1974,YES,BOTH,05,DOUBLE PANE,1971,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
113129,NONE,NA,YES,YES,YES,YES,YES,Not Available,12,95,"DEC 1, 2017",NA,NA,NA,NA,ORIGINAL,NA,NO,Recycling bins,YES,YES,NA,REPLACED,2016,HOT WATER,NO,YES,NO,NO,YES,24,MAIN FLOOR,YES,0,0,2,10,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M6L,NA,NO,GOLDEN EQUITY PROPERTIES,PRIVATE,BACK ,4154338,NO,YES,NO,2500  KEELE ST ,YES,YES,1963,YES,FREE,05,DOUBLE PANE,1977,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA
113130,NONE,Outdoor pool,YES,YES,YES,YES,YES,0 indoor parking spots and 10 outdoor parking spots,18,245,"MAR 16, 2016",NA,NA,NA,"MOTORS, INTERIORS",REPLACED,YES,NO,Green Bin / Organics,YES,YES,VAN HORNE DRIVEWAY ENTRANCE,ORIGINAL,1966,HOT WATER,NO,YES,NO,YES,YES,24 HOUR,MAIN FLOOR,NO,0,1,3,26,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M2J,NA,NO,THE BROWN GROUP OF COMPANIES INC.,PRIVATE,VAN HORNE DRIVEWAY ENTRANCE AND OUTSIDE LOBBY DOOR,4154821,NO,YES,NO,201  VAN HORNE AVE ,YES,YES,1966,YES,FREE,17,DOUBLE PANE,1966,2008,2017,NA,NA,NA,NA,NA,NA,NA,NA
113131,NONE,Child play area,YES,YES,YES,YES,YES,0 indoor parking spots and 12 outdoor parking spots,16,176,"JUL 15, 2017",PLAYGROUND,NA,NA,MODERNIZATION,REPLACED,NA,NO,Green Bin / Organics,YES,YES,OUTDOOR ENCLOSURE,ORIGINAL,1965,HOT WATER,YES,YES,NO,NO,YES,24 HOURS,BASEMENT,YES,0,2,2,20,YES,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",M2J,AS PER THE RESIDENTIAL TENANCY ACT,YES,FIDELITY PROPERTY MANAGEMENT LTD,PRIVATE,OUTDOOR ENCLOSURE,4154832,NO,NO,NO,40  GODSTONE RD ,YES,YES,1965,NO,FREE,17,DOUBLE PANE,1965,2008,2017,NA,NA,NA,NA,NA,NA,NA,NA
113132,NONE,NA,YES,YES,YES,NO,NO,Not Available,3,40,NA,NA,NA,NA,NA,NA,NA,YES,Green Bin / Organics,YES,NO,OUTSIDE NEAR GARBAGE BIN,REPLACED,1990,HOT WATER,NO,YES,NO,NO,YES,10AM TO10PM,GROUND FLOOR,NO,0,0,0,6,YES,YES,Surface Parking,M6M,NA,YES,GN INVESTMENT,PRIVATE,OUTSIDE IN THE BACK NEAR GARBAGE BIN,4155112,NO,NO,NO,83  CLEARVIEW HTS ,NO,NA,NA,NA,FREE,05,DOUBLE PANE,1915,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
113133,NONE,NA,YES,YES,YES,NO,YES,Not Available,3,31,NA,NA,NA,NA,NA,NA,NA,NO,Green Bin / Organics,YES,YES,BACK OF THE BUILDING,ORIGINAL,1957,HOT WATER,NO,YES,NO,NO,YES,7:00 AM- 10:00 PM ,MAIN FLOOR,NO,1,3,0,6,YES,YES,Surface Parking,M6A,NA,YES,TCH,TCHC,BACK OF BUILDING,4155627,NO,NO,NO,3  LEILA LANE ,YES,YES,1970,NA,PAID,08,DOUBLE PANE,1957,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
113134,NONE,NA,YES,YES,YES,NO,YES,Not Available,3,31,NA,NA,NA,NA,NA,NA,NA,NO,Green Bin / Organics,YES,YES,BACK OF THE BUILDING,ORIGINAL,1957,HOT WATER,NO,YES,NO,NO,YES,7:00 AM- 10:00 PM ,MAIN FLOOR,NO,2,3,0,6,YES,YES,Surface Parking,M6A,NA,YES,TCH,TCHC,BACK OF BUILDING,4155640,NO,NO,NO,20  VARNA DR ,YES,YES,1970,NA,PAID,08,DOUBLE PANE,1957,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
113135,NONE,NA,NO,NO,YES,YES,YES,Not Available,4,26,NA,NA,NA,NA,NA,NA,NO,NO,Green Bin / Organics,YES,NO,GARAGE,REPLACED,1955,HOT WATER,YES,YES,NO,YES,YES,7:00 AM - 10:00 PM,BASEMENT,NO,26,12,0,8,NO,NO,"Underground Garage , Garage accessible thru buildg",M6E,NA,YES,IPG MANAGEMENT GROUP,PRIVATE,GARAGE,4156744,NO,NO,NO,36  ROSECLIFFE AVE ,NO,NA,NA,NA,UNAVAILABLE,09,DOUBLE PANE,1945,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA
113136,NONE,NA,YES,YES,YES,YES,NO,0 indoor parking spots and 3 outdoor parking spots,6,94,"JAN 1, 2017",NA,NA,NA,"MOTOR, CONTROLLER, ROPES, CAB INTERIOR, INTERIOR PUSH BUTTONS, HALLWAY STATIONS",REPLACED,NA,NO,Recycling bins,YES,YES,NA,REPLACED,2016,HOT WATER,NO,YES,NO,NO,YES,23 HOURS,GROUND FLOOR NORTH SIDE,NO,0,0,2,5,NO,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Carport , Surface Parking",M4K,MUST BE ON LEASH WHEN ON THE PREMISES,YES,Q RESIDENTIAL,PRIVATE,SOUTH SIDE,4154127,NO,YES,NO,95  GAMBLE AVE ,NO,NA,NA,YES,UNAVAILABLE,14,DOUBLE PANE,1961,2015,2017,NA,NA,NA,NA,NA,NA,NA,NA
113137,NONE,"Indoor pool , Outdoor rec facilities , Sauna",YES,YES,YES,YES,NO,30 indoor parking spots and 0 outdoor parking spots,20,109,"MAY 16, 2016",NA,NA,GROUND LEVEL BBQ AREA,FULL MODERNIZATION,REPLACED,NA,NO,Green Bin / Organics,YES,YES,OUTDOOR PARKING LOT,ORIGINAL,1971,HOT WATER,YES,YES,NO,NO,YES,24 HOURS,FLOOR B1,YES,0,1,2,12,NO,YES,"Underground Garage , Garage accessible thru buildg , Carport , Surface Parking",M4K,NA,YES,ARCANOS PROPERTY MANAGEMENT CORPORATION,PRIVATE,CARPORT,4154140,NO,NO,NO,1010  BROADVIEW AVE ,YES,YES,1971,NO,FREE,14,DOUBLE PANE,1971,2016,2017,NA,NA,NA,NA,NA,NA,NA,NA
113138,NONE,"Outdoor pool , Child play area",YES,YES,YES,YES,NO,20 indoor parking spots and 0 outdoor parking spots,4,120,"JUL 16, 2014",WOODEN STRUCTURE WITH SWINGS AND SLIDE,NA,NA,MECHANICAL ELEVATOR MODERNIZATION AND CAB INTERIOR,REPLACED,YES,NO,Green Bin / Organics,YES,YES,OUTSIDE WEST SIDE OF BUILDING,ORIGINAL,1972,HOT WATER,NO,YES,NO,YES,YES,8 AM TO 10 PM,GROUND FLOOR,YES,0,1,2,13,NO,YES,"Underground Garage , Surface Parking",M3H,AS PER LEASE AGREEMENT,YES,BRIARLANE RENTAL PROPERTY MANAGEMENT INC.,PRIVATE,OUTSIDE WEST SIDE OF BUILDING,4154634,NO,YES,NO,1875  STEELES AVE W,YES,YES,1972,YES,FREE,06,DOUBLE PANE,1972,2011,2017,NA,NA,NA,NA,NA,NA,NA,NA
113139,NONE,NA,YES,YES,NO,YES,NO,Not Available,3,17,NA,NA,NA,NA,NA,NA,NA,NO,Green Bin / Organics,YES,NO,GARBAGE AREA,REPLACED,2004,HOT WATER,NO,YES,NO,NO,YES,OPEN,GROUND FLOOR,YES,0,0,0,5,NO,YES,Surface Parking,M3H,NA,YES,NA,PRIVATE,GARBAGE AREA,4154637,NO,YES,NO,118  OVERBROOK PL ,YES,YES,1985,NA,UNAVAILABLE,06,DOUBLE PANE,1960,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
113140,NONE,NA,YES,YES,YES,YES,YES,0 indoor parking spots and 15 outdoor parking spots,6,179,"AUG 15, 2017",NA,NA,NA,ALL PARTS EXCEPT FOR DOORS,REPLACED,YES,NO,Green Bin / Organics,YES,YES,OUTDOOR,ORIGINAL,1960,HOT WATER,YES,YES,NO,YES,YES,ALL HOURS,FIRST FLOOR,YES,2,4,2,20,YES,YES,"Ground Level Garage , Surface Parking",M2R,NA,YES,RANEE MANAGEMENT,PRIVATE,OUTDOOR,4154645,NO,YES,NO,521-523  FINCH AVE W,NO,NA,NA,YES,FREE,06,DOUBLE PANE,1960,2010,2017,NA,NA,NA,NA,NA,NA,NA,NA
113141,NONE,NA,YES,YES,YES,NO,NO,Not Available,3,17,NA,NA,NA,NA,NA,NA,NA,NO,Recycling bins,YES,NO,NA,ORIGINAL,2005,HOT WATER,NO,NO,NO,NO,YES,24 HOURS,FIRST FLOOR (BACK ENTRANCE DOOR),YES,0,10,0,5,NO,YES,"Ground Level Garage , Surface Parking",M9N,NA,YES,QHN CORPORATION,PRIVATE,LEFT SIDE OF FRONT ENTRANCE,4155133,NO,NO,NO,80  CLOUSTON AVE ,NO,NA,NA,NA,UNAVAILABLE,05,DOUBLE PANE,1968,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
113142,NONE,NA,YES,NO,YES,YES,NO,Not Available,3,21,NA,NA,NA,NA,NA,NA,YES,NO,Green Bin / Organics,YES,NO,OUTSIDE LOCATION,REPLACED,1985,HOT WATER,NO,YES,NO,YES,YES,9:00 TO 9:00,BASEMENT,NO,0,21,0,2,NO,YES,"Ground Level Garage , Surface Parking",M9N,NA,YES,WESTHAVEN PROPERTY MANAGEMENT INC,PRIVATE,OUTSIDE LOCATION,4155140,NO,NO,NO,1848  JANE ST ,NO,NA,NA,NA,UNAVAILABLE,05,DOUBLE PANE,1960,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
113143,NONE,NA,YES,YES,YES,YES,NO,Not Available,5,31,"JAN 5, 2017",NA,NA,NA,COMPLETELY NEW ELEVATOR,REPLACED,YES,YES,Green Bin / Organics,YES,NO,AT THE BACK OF THE BUILDING,REPLACED,2010,HOT WATER,NO,YES,NO,YES,YES,ANY TIME,2,YES,0,31,1,4,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M9N,NA,YES,NA,PRIVATE,AT THE BACK OF THE BUILDING,4155152,NO,YES,NO,150  ROSEMOUNT AVE ,YES,YES,2010,YES,FREE,05,DOUBLE PANE,1974,2015,2017,NA,NA,NA,NA,NA,NA,NA,NA
113144,NONE,NA,NO,NO,YES,NO,NO,Not Available,4,34,"OCT 15, 2016",NA,NA,NA,COMPLETE REPLACEMENT,REPLACED,NA,NO,Green Bin / Organics,YES,YES,BACK OF BUILDING,REPLACED,2008,HOT WATER,NO,YES,NO,NO,YES,8 AM TO 10 PM,BASEMENT,YES,0,0,1,4,NO,YES,"Carport , Surface Parking",M9N,NA,NO,GREENWIN CORP.,PRIVATE,BACK OF BUILDING,4155154,NO,YES,NO,2263  WESTON RD ,NO,NA,NA,YES,FREE,05,DOUBLE PANE,1957,2015,2017,NA,NA,NA,NA,NA,NA,NA,NA
113145,NONE,NA,YES,YES,YES,YES,YES,Not Available,14,236,"NOV 23, 2016",NA,NA,NA,FULL REPLACEMENT - SMART RIZE - GEARLESS,REPLACED,YES,NO,Green Bin / Organics,YES,YES,COMPACTOR ROOM,ORIGINAL,1972,HOT WATER,YES,YES,NO,YES,YES,7:00 AM- 10:00 PM ,BASEMENT,YES,3,4,3,30,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M9R,NA,YES,DEL MANAGMENT,TCHC,BACK OF BUILDING,4155658,NO,NO,NO,44  WILLOWRIDGE RD ,YES,YES,1972,YES,PAID,01,DOUBLE PANE,1972,2017,2017,NA,NA,NA,NA,NA,NA,NA,NA
113146,INDIVIDUAL UNITS,NA,YES,NO,YES,NO,YES,20 indoor parking spots and 0 outdoor parking spots,4,36,"SEP 25, 2017",NA,NA,NA,INTERIOR AND CONTROLS,REPLACED,NA,YES,Unknown,YES,NO,NA,REPLACED,1990,ELECTRIC,NO,YES,NO,NO,YES,6AM-11PM,BASEMENT,YES,36,0,1,6,NO,YES,NA,M4P,NA,YES,STERLING KARAMAR PROPERTY MANAGEMENT,PRIVATE,NA,4155680,NO,YES,NO,3  BROADWAY AVE ,YES,YES,1970,YES,UNAVAILABLE,12,DOUBLE PANE,1930,1985,2017,NA,NA,NA,NA,NA,NA,NA,NA
113147,NONE,"Indoor recreation room , Outdoor rec facilities",YES,YES,YES,NO,NO,13 indoor parking spots and 5 outdoor parking spots,3,22,"NOV 2, 2016",NA,NA,"OUTDOOR GARDEN WITH TABLES FOR ENJOYMENT, TOOLS FOR GARDENING, OUTDOOR BAKE OVEN, FENCED OFF FROM THE PUBLIC",NA,ORIGINAL,NA,NO,Green Bin / Organics,YES,NO,NORTH WEST SIDE OF THE BUILDING ,REPLACED,2010,HOT WATER,NO,YES,NO,NO,YES,24 HOURS A DAY,BASEMENT,NO,0,0,1,4,NO,YES,Surface Parking,M6J,MUST REMAIN ON LEASH IN COMMON AREAS,YES,ARTSCAPE NON-PROFIT HOUSING INC.,SOCIAL HOUSING,NORTH WEST SIDE OF THE BUILDING,4155681,YES,YES,YES,900  QUEEN ST W,YES,YES,1993,YES,UNAVAILABLE,10,DOUBLE PANE,1996,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
113148,NONE,"Indoor pool , Sauna",YES,YES,YES,YES,NO,20 indoor parking spots and 18 outdoor parking spots,15,174,"MAY 10, 2017",NA,NA,NA,ALL MACHINERY. ALSO 2 NEW MOTORS 2015/16,REPLACED,NA,NO,Green Bin / Organics,YES,YES,OUTSIDE REAR OF BUILDING,REPLACED,2016,HOT WATER,NO,YES,NO,NO,YES,9 AM TO 10 PM,GROUND FLOOR,YES,0,0,3,18,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M2J,NA,YES,FIELDGATE PROPERTIES,PRIVATE,OUTSIDE REAR OF BUILDING,4154834,NO,YES,NO,20  GODSTONE RD ,YES,YES,1968,YES,FREE,17,SINGLE PANE,1968,2009,2017,NA,NA,NA,NA,NA,NA,NA,NA
113149,NONE,Outdoor pool,YES,NO,YES,YES,NO,Not Available,4,77,"SEP 15, 2016",NA,NA,NA,COMPLETE MODERNISATION ,REPLACED,NA,NO,Green Bin / Organics,YES,YES,BACK OF THE BUILDING,REPLACED,2015,HOT WATER,NO,YES,NO,NO,YES,24 HRS,BASEMENT ,YES,0,0,1,8,NO,YES,"Ground Level Garage , Surface Parking",M2K,NA,YES,CAPREIT,PRIVATE,BACK OF THE BUILDING,4154836,NO,YES,NO,11  DERVOCK CRES ,YES,YES,1959,YES,FREE,17,DOUBLE PANE,1959,2012,2017,NA,NA,NA,NA,NA,NA,NA,NA
