entrance_accessibility,inaccessible_units,accessible_units,percent_accessible,year_built,year_of_replacement,property_type,ward
NO,28,0,0,1992,NA,SOCIAL HOUSING,25
YES,141,3,2.083333333333333,1987,2015,TCHC,10
YES,2,190,98.95833333333334,1954,2008,PRIVATE,21
YES,94,1,1.0526315789473684,1960,2007,PRIVATE,21
YES,88,0,0,1964,2000,PRIVATE,20
NO,26,0,0,1959,NA,PRIVATE,06
YES,49,1,2,1953,NA,PRIVATE,06
NO,12,0,0,1964,NA,PRIVATE,06
NO,61,0,0,1958,2007,PRIVATE,16
NO,83,0,0,1969,2016,PRIVATE,16
YES,81,0,0,1963,2002,PRIVATE,16
YES,311,1,0.3205128205128205,1969,2014,PRIVATE,02
NO,90,0,0,1969,2006,PRIVATE,02
NO,33,0,0,1970,2009,PRIVATE,02
NO,61,0,0,1965,2012,PRIVATE,01
NO,32,0,0,1965,NA,PRIVATE,01
NO,45,0,0,1967,NA,PRIVATE,01
YES,305,1,0.32679738562091504,1970,2015,TCHC,20
NO,174,0,0,1967,NA,PRIVATE,24
YES,135,1,0.7352941176470588,1970,2012,PRIVATE,24
NO,39,0,0,1965,NA,PRIVATE,06
YES,1,117,99.15254237288136,1967,NA,PRIVATE,06
NO,12,0,0,1954,NA,PRIVATE,06
NO,12,0,0,1955,NA,PRIVATE,06
NO,54,0,0,1950,NA,PRIVATE,06
NO,11,0,0,1945,NA,PRIVATE,06
NO,159,0,0,1968,NA,PRIVATE,06
NO,72,0,0,1962,2002,PRIVATE,16
YES,0,76,100,1963,NA,PRIVATE,16
NO,18,0,0,1937,NA,PRIVATE,12
NO,19,0,0,1955,NA,PRIVATE,12
NO,16,0,0,1950,NA,PRIVATE,01
NO,68,0,0,1962,NA,PRIVATE,01
NO,204,0,0,1974,NA,PRIVATE,01
NO,343,0,0,1976,NA,PRIVATE,01
YES,44,1,2.2222222222222223,1969,NA,TCHC,20
YES,20,2,9.090909090909092,1970,1994,TCHC,21
YES,263,2,0.7547169811320755,1972,2018,PRIVATE,24
NO,110,0,0,1965,2007,PRIVATE,25
NO,99,0,0,1959,2000,PRIVATE,06
NO,100,0,0,1959,2000,PRIVATE,06
YES,36,0,0,1926,NA,PRIVATE,12
NO,24,0,0,1933,NA,PRIVATE,12
NO,12,0,0,1955,NA,PRIVATE,12
YES,59,2,3.278688524590164,1960,2016,PRIVATE,12
NO,27,0,0,1960,NA,PRIVATE,12
NO,40,0,0,1930,NA,PRIVATE,12
NO,42,0,0,1955,NA,PRIVATE,12
YES,151,2,1.3071895424836601,1969,NA,PRIVATE,01
YES,97,3,3,1992,2013,TCHC,03
NO,16,0,0,1959,NA,PRIVATE,03
NO,36,0,0,1961,NA,PRIVATE,03
YES,38,2,5,1969,NA,TCHC,10
YES,100,3,2.912621359223301,1965,2012,TCHC,20
NO,23,0,0,1954,NA,PRIVATE,05
YES,252,0,0,1974,2010,PRIVATE,22
YES,197,0,0,1974,2010,PRIVATE,22
NO,79,0,0,1970,NA,PRIVATE,07
YES,9,1,10,1961,NA,PRIVATE,08
YES,0,42,100,1962,NA,PRIVATE,08
NO,15,0,0,1965,NA,PRIVATE,08
NO,62,0,0,1960,2015,PRIVATE,12
NO,35,0,0,1955,NA,PRIVATE,12
NO,72,0,0,1950,2012,PRIVATE,12
NO,14,0,0,1952,NA,PRIVATE,03
NO,75,0,0,1952,NA,PRIVATE,03
NO,37,0,0,1952,NA,PRIVATE,03
YES,249,0,0,1979,2015,PRIVATE,25
YES,123,3,2.380952380952381,1991,NA,TCHC,25
NO,36,0,0,1957,NA,PRIVATE,04
NO,25,0,0,1967,NA,PRIVATE,04
NO,60,0,0,1930,NA,PRIVATE,04
NO,34,0,0,1959,NA,PRIVATE,08
NO,15,0,0,1956,NA,PRIVATE,08
NO,11,0,0,1956,NA,PRIVATE,08
NO,10,0,0,1957,NA,PRIVATE,08
NO,10,0,0,1957,NA,PRIVATE,08
NO,12,0,0,1956,NA,PRIVATE,08
NO,55,0,0,1958,NA,PRIVATE,12
NO,12,0,0,1952,NA,PRIVATE,03
NO,23,0,0,1957,NA,PRIVATE,03
NO,46,0,0,1957,NA,PRIVATE,03
NO,18,0,0,1970,NA,PRIVATE,03
NO,14,0,0,1950,NA,PRIVATE,03
NO,25,0,0,1920,NA,PRIVATE,11
NO,23,0,0,1955,NA,PRIVATE,12
NO,129,0,0,1973,NA,PRIVATE,12
YES,125,0,0,1963,NA,PRIVATE,12
NO,11,0,0,1956,NA,PRIVATE,08
NO,11,0,0,1960,NA,PRIVATE,08
NO,36,0,0,1960,NA,PRIVATE,08
NO,110,0,0,1960,NA,PRIVATE,08
NO,39,0,0,1959,2007,PRIVATE,08
NO,231,0,0,1967,2011,PRIVATE,08
YES,191,1,0.5208333333333333,1969,1999,TCHC,20
YES,127,1,0.78125,1970,1996,TCHC,24
YES,420,1,0.23752969121140144,1972,2016,TCHC,20
YES,144,1,0.6896551724137931,1971,2016,TCHC,24
YES,131,8,5.755395683453238,1975,2008,PRIVATE,02
YES,18,2,10,1970,NA,TCHC,24
YES,79,5,5.952380952380952,2010,NA,TCHC,13
YES,90,0,0,1960,2005,PRIVATE,15
YES,74,1,1.3333333333333335,1956,1994,TCHC,15
NO,26,0,0,1954,NA,PRIVATE,08
NO,26,0,0,1953,NA,PRIVATE,08
NO,29,0,0,1954,NA,PRIVATE,08
NO,10,0,0,1958,NA,PRIVATE,06
NO,11,0,0,1955,NA,PRIVATE,06
NO,29,0,0,1960,NA,PRIVATE,09
NO,24,0,0,1968,NA,PRIVATE,09
NO,15,0,0,1958,NA,PRIVATE,09
NO,47,0,0,1955,NA,PRIVATE,05
NO,11,0,0,1950,NA,PRIVATE,05
YES,448,1,0.22271714922048996,1969,1998,TCHC,04
YES,300,1,0.33222591362126247,1973,2016,TCHC,13
YES,41,2,4.651162790697675,1956,2001,TCHC,19
NO,11,0,0,1965,NA,PRIVATE,16
YES,0,60,100,1962,2017,PRIVATE,06
YES,175,0,0,1974,2009,PRIVATE,22
NO,86,0,0,1956,NA,PRIVATE,15
NO,34,0,0,1960,NA,PRIVATE,14
NO,73,0,0,1960,NA,PRIVATE,14
YES,0,160,100,1968,2007,PRIVATE,14
NO,259,0,0,1960,2007,PRIVATE,06
NA,44,0,0,NA,NA,PRIVATE,10
YES,126,0,0,1970,2012,PRIVATE,17
NO,11,0,0,1945,NA,PRIVATE,18
NO,15,0,0,1911,NA,PRIVATE,13
YES,66,2,2.941176470588235,2007,NA,SOCIAL HOUSING,01
YES,158,1,0.628930817610063,2009,NA,TCHC,13
NO,12,0,0,1940,NA,SOCIAL HOUSING,19
NO,34,0,0,1970,NA,PRIVATE,03
NO,25,0,0,1956,NA,PRIVATE,11
NO,32,0,0,1938,NA,PRIVATE,12
NO,32,0,0,1943,NA,PRIVATE,12
NO,24,0,0,1950,NA,PRIVATE,14
YES,494,2,0.4032258064516129,1971,2017,PRIVATE,15
YES,226,25,9.9601593625498,2015,NA,PRIVATE,12
YES,128,0,0,1969,2017,PRIVATE,19
YES,154,3,1.910828025477707,1963,2017,PRIVATE,11
NO,10,0,0,1951,NA,PRIVATE,12
YES,0,11,100,1955,NA,PRIVATE,05
YES,304,0,0,1964,2016,PRIVATE,17
NO,16,0,0,1905,NA,PRIVATE,19
NO,12,0,0,1951,NA,PRIVATE,19
YES,193,1,0.5154639175257731,1978,NA,TCHC,20
YES,575,0,0,1976,2006,PRIVATE,20
YES,167,1,0.5952380952380952,1964,NA,TCHC,20
NO,285,0,0,1968,2005,PRIVATE,20
NO,112,0,0,1969,NA,PRIVATE,20
NO,61,0,0,1974,2015,PRIVATE,20
NO,27,0,0,1960,NA,PRIVATE,20
NO,28,0,0,1960,NA,PRIVATE,20
YES,0,466,100,1972,NA,PRIVATE,07
NO,137,0,0,1970,NA,PRIVATE,07
YES,32,0,0,1971,NA,PRIVATE,07
NO,118,0,0,1968,NA,PRIVATE,07
YES,25,2,7.4074074074074066,2008,NA,TCHC,07
NO,214,0,0,1968,2014,PRIVATE,18
YES,49,0,0,1963,NA,PRIVATE,15
YES,102,0,0,1963,NA,PRIVATE,15
NO,366,0,0,1976,2017,PRIVATE,18
NO,14,0,0,1940,NA,PRIVATE,03
NO,44,0,0,1954,2018,PRIVATE,03
NO,33,0,0,1952,NA,PRIVATE,03
YES,295,3,1.006711409395973,2012,NA,TCHC,10
NO,11,0,0,1950,NA,PRIVATE,20
YES,298,3,0.9966777408637874,1969,2014,TCHC,13
YES,0,32,100,1966,NA,SOCIAL HOUSING,11
YES,82,2,2.380952380952381,2005,NA,PRIVATE,06
YES,30,1,3.225806451612903,1970,NA,TCHC,24
NO,27,0,0,1958,NA,PRIVATE,21
NO,36,0,0,1955,NA,PRIVATE,21
NO,28,0,0,1959,NA,PRIVATE,21
NO,43,0,0,1958,NA,PRIVATE,21
YES,100,0,0,1963,NA,PRIVATE,21
YES,0,258,100,1972,NA,PRIVATE,07
YES,3,260,98.85931558935361,1972,2012,PRIVATE,07
NO,114,0,0,1962,2006,PRIVATE,07
YES,319,4,1.238390092879257,1969,2010,TCHC,07
YES,244,2,0.8130081300813009,1970,2010,TCHC,18
NO,151,0,0,1960,2015,PRIVATE,16
YES,41,2,4.651162790697675,1960,2008,PRIVATE,16
YES,47,1,2.083333333333333,1955,NA,PRIVATE,03
NO,50,0,0,1958,2005,PRIVATE,03
YES,55,1,1.7857142857142856,2008,NA,TCHC,14
NO,13,0,0,1955,NA,PRIVATE,03
YES,0,89,100,1978,NA,SOCIAL HOUSING,21
NO,18,0,0,1954,NA,PRIVATE,20
YES,89,13,12.745098039215685,1992,NA,SOCIAL HOUSING,20
NO,22,0,0,1957,NA,PRIVATE,05
YES,350,0,0,1970,2016,PRIVATE,05
YES,0,12,100,1950,NA,PRIVATE,05
NO,77,0,0,1966,2015,PRIVATE,02
YES,86,2,2.272727272727273,1968,2016,PRIVATE,02
YES,31,1,3.125,1968,2015,PRIVATE,02
NO,13,0,0,1952,NA,PRIVATE,02
NO,28,0,0,1930,NA,PRIVATE,12
NO,67,0,0,1969,2017,PRIVATE,21
YES,173,0,0,1962,2015,PRIVATE,21
YES,131,0,0,1969,2007,PRIVATE,21
YES,56,2,3.4482758620689653,1961,2015,PRIVATE,20
NO,55,0,0,1965,2007,PRIVATE,20
NO,55,0,0,1958,NA,PRIVATE,06
NO,35,0,0,1958,NA,PRIVATE,06
YES,0,204,100,1964,2010,PRIVATE,16
NO,65,0,0,1963,NA,PRIVATE,16
NO,65,0,0,1962,2001,PRIVATE,16
YES,0,78,100,1962,NA,PRIVATE,16
NO,81,0,0,1962,2017,PRIVATE,16
YES,55,2,3.508771929824561,1960,2013,PRIVATE,15
YES,103,6,5.5045871559633035,1985,NA,SOCIAL HOUSING,15
NO,56,0,0,1959,2002,PRIVATE,08
YES,60,0,0,1950,2012,PRIVATE,08
YES,68,0,0,1950,2009,PRIVATE,08
YES,148,2,1.3333333333333335,1967,2015,PRIVATE,05
NO,106,0,0,1964,NA,PRIVATE,05
NO,93,0,0,1970,NA,PRIVATE,05
NO,53,0,0,1958,NA,PRIVATE,05
NO,116,0,0,2005,NA,PRIVATE,09
NO,141,0,0,1967,2015,PRIVATE,12
YES,160,1,0.6211180124223602,1969,1998,PRIVATE,05
NO,23,0,0,1950,NA,PRIVATE,03
YES,12,5,29.411764705882355,1992,NA,PRIVATE,11
NO,11,0,0,1960,NA,PRIVATE,06
YES,151,2,1.3071895424836601,2011,NA,PRIVATE,20
NO,13,0,0,1950,NA,PRIVATE,15
NO,24,0,0,1969,NA,PRIVATE,02
NO,47,0,0,1962,NA,PRIVATE,01
NO,53,0,0,1955,NA,PRIVATE,01
YES,191,3,1.5463917525773196,1965,2014,TCHC,01
NO,82,0,0,1960,NA,PRIVATE,20
NO,221,0,0,1965,2007,PRIVATE,24
YES,10,1,9.090909090909092,1972,NA,PRIVATE,06
NO,3,8,72.72727272727273,1960,NA,PRIVATE,06
NO,11,0,0,1965,NA,PRIVATE,06
NO,81,0,0,1975,2013,PRIVATE,12
NO,12,0,0,1930,NA,PRIVATE,12
YES,0,101,100,1967,2017,PRIVATE,12
NO,45,0,0,1963,NA,PRIVATE,01
NO,18,0,0,1964,NA,PRIVATE,01
NO,16,0,0,1920,NA,PRIVATE,19
NO,4,6,60,1960,NA,PRIVATE,20
NO,21,0,0,1956,NA,PRIVATE,02
YES,0,267,100,1969,1999,PRIVATE,09
YES,0,246,100,1967,2014,PRIVATE,05
NA,88,0,0,1970,NA,PRIVATE,24
NO,216,0,0,1970,2019,PRIVATE,24
NO,200,0,0,1979,2017,PRIVATE,24
YES,374,1,0.26666666666666666,1974,2017,TCHC,24
YES,38,0,0,1970,NA,PRIVATE,24
NO,107,0,0,1960,2005,PRIVATE,24
YES,40,0,0,1958,NA,PRIVATE,06
YES,181,0,0,1968,NA,PRIVATE,06
NO,25,0,0,1940,NA,PRIVATE,12
NO,24,0,0,1932,NA,PRIVATE,12
NO,42,0,0,1959,2005,PRIVATE,12
NO,16,0,0,1960,NA,PRIVATE,12
NO,24,0,0,1929,NA,PRIVATE,12
NO,16,0,0,1955,NA,PRIVATE,12
NO,0,32,100,1920,NA,PRIVATE,12
NO,46,0,0,1930,NA,PRIVATE,12
YES,154,0,0,1968,2007,PRIVATE,01
NO,96,0,0,1970,2018,PRIVATE,01
YES,303,4,1.3029315960912053,1972,2008,TCHC,03
NO,87,0,0,1959,NA,PRIVATE,03
NO,38,0,0,1957,NA,PRIVATE,03
YES,0,234,100,1971,2005,PRIVATE,17
YES,0,93,100,1960,NA,PRIVATE,07
NO,14,0,0,1992,NA,SOCIAL HOUSING,25
NO,73,0,0,1960,2008,PRIVATE,01
NO,33,0,0,1950,NA,PRIVATE,12
YES,206,0,0,1973,2010,PRIVATE,22
NO,106,0,0,1969,2010,PRIVATE,22
YES,194,1,0.5128205128205128,1970,2014,PRIVATE,22
YES,370,0,0,1970,2016,PRIVATE,07
YES,370,0,0,1972,NA,PRIVATE,07
YES,184,18,8.91089108910891,1991,NA,SOCIAL HOUSING,08
NO,79,0,0,1952,2009,PRIVATE,12
NO,33,0,0,1940,NA,PRIVATE,12
NO,18,0,0,1950,NA,PRIVATE,03
NO,26,0,0,1952,NA,PRIVATE,03
NO,26,0,0,1952,NA,PRIVATE,03
NO,61,0,0,1952,NA,PRIVATE,03
YES,140,10,6.666666666666667,1992,NA,SOCIAL HOUSING,05
YES,44,3,6.382978723404255,1963,2017,TCHC,02
YES,100,2,1.9607843137254901,1975,2009,TCHC,13
NO,129,0,0,1961,NA,PRIVATE,19
NO,15,0,0,1940,NA,PRIVATE,20
YES,66,0,0,1963,NA,PRIVATE,21
NO,12,0,0,1975,NA,PRIVATE,25
NO,30,0,0,2009,NA,SOCIAL HOUSING,12
NO,94,0,0,1980,NA,PRIVATE,23
NO,81,0,0,1957,2009,PRIVATE,04
NO,47,0,0,1955,NA,PRIVATE,04
NO,34,0,0,1940,NA,PRIVATE,04
NO,22,0,0,1923,NA,PRIVATE,04
YES,13,6,31.57894736842105,1935,NA,PRIVATE,04
NO,10,0,0,1957,NA,PRIVATE,08
NO,13,0,0,1956,NA,PRIVATE,08
NO,11,0,0,1956,NA,PRIVATE,08
NO,11,0,0,1969,NA,PRIVATE,08
YES,151,0,0,1968,2010,PRIVATE,09
NO,20,0,0,1950,NA,PRIVATE,09
NO,29,0,0,1952,NA,PRIVATE,09
NO,68,0,0,1968,2018,PRIVATE,12
NO,10,0,0,1955,NA,PRIVATE,03
NO,118,0,0,1971,2008,PRIVATE,07
NO,26,0,0,1930,NA,PRIVATE,12
NO,29,0,0,1956,NA,PRIVATE,15
YES,83,0,0,1964,2013,PRIVATE,12
YES,0,171,100,1974,2003,PRIVATE,08
NO,11,0,0,1967,NA,PRIVATE,08
NO,12,0,0,1960,NA,PRIVATE,08
NO,11,0,0,1950,NA,PRIVATE,08
NO,10,0,0,1955,NA,PRIVATE,08
NO,11,0,0,1960,NA,PRIVATE,08
NO,28,0,0,1960,NA,PRIVATE,08
NO,37,0,0,1960,NA,PRIVATE,12
NO,26,0,0,1958,NA,PRIVATE,08
NO,56,0,0,1956,2014,PRIVATE,08
NO,17,0,0,1960,NA,PRIVATE,09
NO,118,0,0,1964,2011,PRIVATE,03
NO,11,0,0,1957,NA,PRIVATE,03
YES,93,1,1.0638297872340425,1970,NA,TCHC,20
YES,210,3,1.4084507042253522,1969,2016,TCHC,24
YES,141,0,0,2010,NA,PRIVATE,12
YES,186,0,0,1965,2007,PRIVATE,12
YES,0,222,100,1967,2005,PRIVATE,16
NO,91,0,0,1963,2004,PRIVATE,12
YES,226,2,0.8771929824561403,1964,2017,PRIVATE,12
NO,160,0,0,1962,2010,PRIVATE,15
NO,33,0,0,1960,NA,PRIVATE,06
NO,36,0,0,1963,NA,PRIVATE,09
YES,28,0,0,1950,NA,PRIVATE,05
YES,185,1,0.5376344086021506,1970,NA,TCHC,22
YES,56,1,1.7543859649122806,1974,2003,TCHC,04
YES,184,4,2.127659574468085,1971,1994,TCHC,07
YES,292,40,12.048192771084338,2010,NA,PRIVATE,18
NO,32,0,0,1930,NA,PRIVATE,12
NO,22,0,0,1954,NA,PRIVATE,03
YES,124,4,3.125,2014,NA,TCHC,13
YES,46,2,4.166666666666666,1956,2016,PRIVATE,14
NO,67,0,0,1964,NA,PRIVATE,06
NO,13,0,0,1956,NA,PRIVATE,06
NO,37,0,0,1951,NA,PRIVATE,05
NO,11,0,0,1950,NA,PRIVATE,05
NO,10,0,0,1950,NA,PRIVATE,05
NO,45,0,0,1960,NA,PRIVATE,05
NO,15,0,0,1958,NA,PRIVATE,05
YES,169,5,2.8735632183908044,1982,2012,SOCIAL HOUSING,05
NO,40,0,0,1977,NA,PRIVATE,05
NO,29,0,0,1969,NA,PRIVATE,05
NO,267,0,0,1968,2011,PRIVATE,05
YES,219,5,2.232142857142857,1970,1995,TCHC,05
NA,30,0,0,2019,NA,SOCIAL HOUSING,08
YES,29,1,3.3333333333333335,1957,NA,TCHC,08
YES,29,2,6.451612903225806,1957,NA,TCHC,08
YES,79,2,2.4691358024691357,1962,1999,TCHC,16
YES,60,3,4.761904761904762,1962,1999,TCHC,16
YES,251,2,0.7905138339920948,1974,2017,TCHC,08
NO,38,0,0,1951,NA,PRIVATE,03
NO,49,0,0,1960,NA,PRIVATE,14
NO,173,0,0,1965,NA,PRIVATE,14
YES,77,0,0,1960,2012,PRIVATE,15
YES,77,0,0,1960,2012,PRIVATE,15
YES,246,0,0,1978,2007,PRIVATE,06
YES,219,2,0.904977375565611,1970,NA,PRIVATE,06
NO,120,0,0,1969,2016,PRIVATE,06
YES,0,95,100,1969,NA,PRIVATE,06
YES,64,0,0,1965,2015,PRIVATE,06
NO,11,0,0,1954,NA,PRIVATE,05
NO,61,0,0,1960,NA,PRIVATE,05
NO,69,0,0,1963,1990,PRIVATE,05
YES,14,0,0,2006,NA,PRIVATE,15
NO,57,0,0,1965,2017,PRIVATE,06
YES,47,1,2.083333333333333,1948,NA,TCHC,13
YES,279,0,0,1968,2011,PRIVATE,15
YES,320,0,0,1966,2017,PRIVATE,15
YES,498,2,0.4,1971,2017,PRIVATE,15
YES,64,0,0,1960,2014,PRIVATE,15
YES,66,2,2.941176470588235,1994,NA,SOCIAL HOUSING,16
NO,36,0,0,1959,NA,PRIVATE,21
YES,0,91,100,1960,NA,PRIVATE,21
NO,71,0,0,1964,NA,PRIVATE,21
NO,49,0,0,1957,2016,PRIVATE,20
NO,49,0,0,1957,2016,PRIVATE,20
NO,124,0,0,1963,NA,PRIVATE,20
NO,110,0,0,1958,NA,PRIVATE,20
NO,42,0,0,1966,NA,PRIVATE,05
NO,10,0,0,1958,NA,PRIVATE,05
YES,88,1,1.1235955056179776,1992,NA,SOCIAL HOUSING,05
NO,46,0,0,1957,NA,PRIVATE,05
NO,47,0,0,1957,NA,PRIVATE,05
NO,11,0,0,1960,NA,PRIVATE,05
NO,34,0,0,1927,NA,PRIVATE,03
NO,48,0,0,1952,2007,PRIVATE,03
NO,184,0,0,1977,2012,PRIVATE,03
YES,127,1,0.78125,1979,2009,TCHC,03
NO,285,0,0,1973,NA,PRIVATE,03
NO,17,0,0,1970,NA,PRIVATE,02
YES,73,0,0,1966,NA,PRIVATE,02
YES,158,2,1.25,1992,2017,TCHC,08
YES,104,8,7.142857142857142,2008,NA,SOCIAL HOUSING,13
YES,212,2,0.9345794392523363,1972,2016,PRIVATE,05
NO,24,0,0,1950,NA,PRIVATE,05
YES,149,1,0.6666666666666667,1989,NA,TCHC,20
YES,1,61,98.38709677419355,1971,NA,PRIVATE,21
YES,130,0,0,1965,2001,PRIVATE,21
YES,54,3,5.263157894736842,1960,2007,PRIVATE,21
YES,132,10,7.042253521126761,1968,2017,PRIVATE,21
NO,62,0,0,1961,2005,PRIVATE,21
NO,59,0,0,1961,2015,PRIVATE,21
NO,77,0,0,1961,2014,PRIVATE,21
NO,12,0,0,1950,NA,PRIVATE,05
NO,12,0,0,1958,NA,PRIVATE,05
YES,34,0,0,1960,NA,PRIVATE,05
YES,91,1,1.0869565217391304,1965,2007,PRIVATE,05
YES,124,1,0.8,1969,NA,PRIVATE,17
NO,147,0,0,1969,2008,PRIVATE,17
YES,163,0,0,1966,2006,PRIVATE,17
YES,170,0,0,1968,2012,PRIVATE,17
YES,0,223,100,1970,2009,PRIVATE,17
NO,107,0,0,1986,2009,PRIVATE,17
NO,39,0,0,1954,NA,PRIVATE,02
NO,108,0,0,1966,2013,PRIVATE,02
YES,365,0,0,1969,2013,PRIVATE,02
YES,55,0,0,1964,2006,PRIVATE,02
NO,265,0,0,1965,2010,PRIVATE,19
YES,53,2,3.6363636363636362,1994,NA,TCHC,13
NO,9,2,18.181818181818183,1960,NA,PRIVATE,20
NO,82,0,0,1961,NA,PRIVATE,21
NO,82,0,0,1956,2017,PRIVATE,21
YES,199,1,0.5,1960,NA,TCHC,21
NO,48,0,0,1960,NA,PRIVATE,24
NO,112,0,0,1960,NA,PRIVATE,24
YES,149,0,0,1967,2008,PRIVATE,21
NO,76,0,0,1963,2011,PRIVATE,05
NO,11,0,0,1955,NA,PRIVATE,05
NO,11,0,0,1953,NA,PRIVATE,06
YES,141,0,0,1982,2005,PRIVATE,16
NO,28,0,0,1956,2014,PRIVATE,16
NO,64,0,0,1960,2017,PRIVATE,16
NO,60,0,0,1960,2017,PRIVATE,16
YES,0,52,100,1966,2017,PRIVATE,16
YES,0,375,100,1973,2013,PRIVATE,13
YES,80,2,2.4390243902439024,1995,NA,TCHC,13
NO,96,0,0,1968,2012,PRIVATE,13
NO,41,0,0,1936,2014,PRIVATE,08
NO,41,0,0,1957,2016,PRIVATE,08
NO,41,0,0,1957,2016,PRIVATE,08
NO,67,0,0,1958,2009,PRIVATE,19
NO,30,0,0,1926,NA,PRIVATE,13
YES,88,0,0,1965,2015,PRIVATE,13
NO,427,0,0,1968,NA,PRIVATE,13
NO,107,0,0,1968,NA,PRIVATE,13
NO,56,0,0,1960,2003,PRIVATE,13
YES,116,0,0,1960,2008,PRIVATE,13
YES,108,0,0,1971,2007,PRIVATE,19
YES,84,0,0,1971,2007,PRIVATE,19
YES,43,14,24.561403508771928,1955,NA,PRIVATE,19
YES,438,0,0,1985,2009,PRIVATE,18
YES,297,0,0,1967,2010,PRIVATE,16
YES,243,4,1.6194331983805668,1981,2005,TCHC,16
YES,0,284,100,1969,2009,PRIVATE,16
NO,64,0,0,1960,2006,PRIVATE,16
YES,45,25,35.714285714285715,1989,NA,SOCIAL HOUSING,16
YES,61,0,0,1959,2001,PRIVATE,16
YES,60,1,1.639344262295082,1959,2001,PRIVATE,16
NO,37,0,0,1954,NA,PRIVATE,03
NO,35,0,0,1955,NA,PRIVATE,03
NO,30,0,0,1950,NA,PRIVATE,03
YES,48,0,0,1960,2010,PRIVATE,03
NO,21,0,0,1957,NA,PRIVATE,03
YES,228,0,0,1974,2010,PRIVATE,02
NO,10,0,0,1958,NA,PRIVATE,08
YES,125,2,1.574803149606299,1983,NA,SOCIAL HOUSING,19
NO,16,0,0,1956,NA,PRIVATE,19
YES,105,4,3.669724770642202,1979,2015,SOCIAL HOUSING,19
YES,198,2,1,1962,1982,TCHC,19
NO,35,0,0,1928,NA,PRIVATE,13
YES,251,3,1.1811023622047243,1986,NA,TCHC,14
YES,155,5,3.125,1967,2014,PRIVATE,14
NO,33,0,0,1968,NA,PRIVATE,14
YES,93,2,2.1052631578947367,1994,2003,TCHC,09
NO,16,0,0,1940,NA,PRIVATE,04
NO,42,0,0,1958,NA,PRIVATE,04
NO,10,0,0,1920,NA,PRIVATE,09
NO,70,0,0,1957,NA,PRIVATE,04
YES,257,3,1.153846153846154,1980,2010,TCHC,13
NO,279,0,0,1967,2007,PRIVATE,13
YES,0,69,100,1963,1995,PRIVATE,13
